servico,price,Estado,Cidade
pet_sitting,50.0,SP,Campinas
boarding,70.0,PE,Recife
day_care,55.0,PE,Recife
boarding,60.0,ES,Vila Velha
pet_sitting,40.0,SP,Sao Paulo
boarding,100.0,SP,Pirassununga
boarding,120.0,SP,Sao Paulo
day_care,60.0,SP,Sao Paulo
pet_sitting,55.0,SP,Sao Paulo
pet_sitting,60.0,SP,Osasco
pet_sitting,60.0,PI,Teresina
pet_sitting,50.0,RJ,Rio De Janeiro
boarding,55.0,SP,Sao Paulo
pet_sitting,30.0,MT,Cuiabá
boarding,70.0,SP,Sao Paulo
boarding,45.0,MG,Montes Claros
boarding,80.0,SP,Campo Limpo Paulista
boarding,70.0,SP,Águas De São Pedro
boarding,65.0,SC,Florianopolis
pet_sitting,30.0,SP,Sao Paulo
boarding,100.0,BA,Salvador
day_care,75.0,BA,Salvador
pet_sitting,40.0,PR,Curitiba
boarding,50.0,DF,Brazilia
boarding,60.0,SP,Sao Paulo
day_care,68.0,SP,Sao Paulo
boarding,60.0,MG,Belo Horizonte
pet_sitting,30.0,SP,Sao Paulo
day_care,35.0,SP,Sao Paulo
boarding,120.0,SP,Santos
pet_sitting,80.0,SP,Sao Paulo
boarding,100.0,SP,Sao Paulo
pet_sitting,94.0,SP,Sao Paulo
pet_sitting,50.0,SP,São José Dos Campos
pet_sitting,70.0,RS,Porto Alegre
boarding,90.0,SP,Sao Paulo
day_care,74.0,SP,Sao Paulo
boarding,75.0,PR,Curitiba
day_care,60.0,PR,Curitiba
pet_sitting,40.0,BA,Cruz Das Almas
pet_sitting,40.0,SC,Criciúma
pet_sitting,65.0,SP,Sao Paulo
pet_sitting,40.0,SC,Joinville
pet_sitting,60.0,SC,Balneário Camboriú
pet_sitting,30.0,MG,Inconfidentes
boarding,100.0,SP,Jundiaí
day_care,85.0,SP,Jundiaí
boarding,67.0,BA,Salvador
day_care,50.0,BA,Salvador
boarding,50.0,RS,Porto Alegre
boarding,80.0,SP,Valinhos
day_care,45.0,SP,Valinhos
boarding,60.0,SP,Sao Paulo
boarding,60.0,SC,Joinville
day_care,50.0,SC,Joinville
boarding,70.0,SP,Sao Paulo
day_care,50.0,SP,Sao Paulo
boarding,40.0,SP,Sao Paulo
boarding,80.0,SC,Balneário Camboriú
day_care,65.0,SC,Balneário Camboriú
boarding,55.0,MG,Inconfidentes
day_care,40.0,MG,Inconfidentes
boarding,45.0,RJ,Rio De Janeiro
day_care,40.0,RJ,Rio De Janeiro
pet_sitting,80.0,SP,Sao Paulo
boarding,70.0,RJ,Niteroi
day_care,60.0,RJ,Niteroi
pet_sitting,40.0,PR,Curitiba
pet_sitting,50.0,SP,Osasco
boarding,65.0,SP,Campinas
day_care,50.0,SP,Campinas
pet_sitting,45.0,MG,Belo Horizonte
pet_sitting,50.0,PR,Curitiba
boarding,58.0,PR,Curitiba
day_care,30.0,PR,Curitiba
pet_sitting,55.0,SP,Sao Paulo
pet_sitting,120.0,SP,Mairiporã
day_care,35.0,GO,Goiania
boarding,80.0,SC,São José
boarding,45.0,SP,Sao Paulo
day_care,40.0,SP,Sao Paulo
boarding,65.0,RS,Cachoeirinha
boarding,80.0,SC,Florianopolis
boarding,70.0,RJ,Rio De Janeiro
boarding,90.0,ES,Vila Velha
pet_sitting,75.0,ES,Vila Velha
boarding,55.0,RJ,Rio De Janeiro
day_care,50.0,RJ,Rio De Janeiro
boarding,90.0,SP,Sao Paulo
day_care,75.0,SP,Sao Paulo
pet_sitting,45.0,SP,Sao Paulo
boarding,70.0,SP,Votorantim
day_care,45.0,SP,Votorantim
pet_sitting,50.0,BA,Vitória Da Conquista
pet_sitting,55.0,SP,Sao Paulo
pet_sitting,70.0,SP,São José Do Rio Preto
boarding,55.0,SP,São José Do Rio Preto
day_care,30.0,SP,São José Do Rio Preto
boarding,85.0,RJ,Rio De Janeiro
boarding,80.0,SP,Sao Paulo
day_care,65.0,SP,Sao Paulo
boarding,85.0,SP,Sao Paulo
boarding,80.0,SC,Florianopolis
day_care,80.0,SC,Florianopolis
pet_sitting,50.0,SC,Florianopolis
boarding,30.0,SP,Sao Paulo
pet_sitting,30.0,SP,Sao Paulo
boarding,80.0,SP,Sao Paulo
day_care,70.0,SP,Sao Paulo
boarding,80.0,SP,Sao Paulo
day_care,50.0,SP,Taboão Da Serra
boarding,75.0,SP,São Bernardo Do Campo
day_care,50.0,DF,Brasília
boarding,80.0,PR,Curitiba
day_care,60.0,SP,Franca
boarding,55.0,RS,Porto Alegre
boarding,110.0,RJ,Rio De Janeiro
boarding,60.0,RS,Bagé
boarding,70.0,SP,Franca
day_care,40.0,GO,Senador Canedo
boarding,60.0,RJ,Rio De Janeiro
boarding,45.0,SP,São Manuel
day_care,55.0,SP,Jundiaí
boarding,85.0,SP,Sorocaba
day_care,60.0,MG,Belo Horizonte
boarding,72.0,SP,Indaiatuba
boarding,90.0,PR,Curitiba
day_care,60.0,SP,Sao Paulo
day_care,65.0,RS,Canoas
day_care,150.0,SC,Itapema
day_care,50.0,PB,João Pessoa
day_care,70.0,SP,São José Do Rio Preto
boarding,80.0,MG,Juiz De Fora
boarding,100.0,SP,Sao Paulo
day_care,60.0,SE,Aracaju
boarding,55.0,SP,São José Do Rio Preto
boarding,90.0,SP,Sorocaba
boarding,65.0,PA,Belém
boarding,70.0,RJ,Rio De Janeiro
boarding,80.0,SP,Sao Paulo
boarding,67.0,SC,Florianopolis
boarding,67.0,SP,Jundiaí
day_care,80.0,RJ,Rio De Janeiro
boarding,150.0,PB,João Pessoa
day_care,70.0,SP,Campinas
day_care,90.0,SP,Sao Paulo
day_care,55.0,SP,Sao Paulo
boarding,75.0,SP,Campinas
boarding,90.0,SP,Sao Paulo
boarding,70.0,SP,Mogi Das Cruzes
boarding,120.0,CE,Fortaleza
boarding,80.0,SP,Várzea Paulista
boarding,60.0,DF,Brasília
boarding,65.0,MG,Belo Horizonte
day_care,45.0,RJ,Rio De Janeiro
day_care,134.0,SP,Sao Paulo
day_care,100.0,RS,Canoas
boarding,110.0,SP,Sao Paulo
day_care,50.0,DF,Brasília
boarding,65.0,SC,Florianopolis
day_care,50.0,SP,São José Do Rio Preto
boarding,120.0,RJ,Rio De Janeiro
boarding,68.0,SC,Florianopolis
boarding,100.0,SP,Atibaia
day_care,60.0,SP,São José Dos Campos
boarding,70.0,SP,Santo_Andre
boarding,45.0,SP,Jacareí
day_care,48.0,DF,Brasília
boarding,50.0,PR,Curitiba
boarding,90.0,ES,Vila Velha
day_care,55.0,CE,Fortaleza
boarding,120.0,RJ,Niteroi
boarding,200.0,SP,Valinhos
boarding,99.0,RJ,Rio De Janeiro
boarding,60.0,PR,Curitiba
day_care,70.0,SP,Guaratinguetá
boarding,160.0,SP,Sao Paulo
boarding,50.0,MG,Caxambu
boarding,50.0,RS,Caxias Do Sul
boarding,114.0,SP,Sao Paulo
boarding,80.0,SP,Sao Paulo
day_care,50.0,MG,Belo Horizonte
boarding,76.0,SP,São José Dos Campos
boarding,130.0,SP,Santo_Andre
day_care,40.0,RJ,Resende
boarding,64.0,SP,Sorocaba
day_care,50.0,SP,Mogi Das Cruzes
day_care,40.0,RS,Porto Alegre
boarding,60.0,PR,Curitiba
day_care,60.0,RJ,Rio De Janeiro
boarding,100.0,RJ,Niteroi
day_care,60.0,SP,Guarulhos
boarding,95.0,SP,Sao Paulo
day_care,70.0,SP,Sao Paulo
day_care,60.0,MG,Belo Horizonte
day_care,60.0,SP,Sao Paulo
boarding,90.0,SP,Osasco
boarding,60.0,BA,Vitória Da Conquista
boarding,150.0,RJ,Rio De Janeiro
boarding,80.0,MG,Minas Gerais
boarding,100.0,SP,Sao Paulo
boarding,150.0,RS,Porto Alegre
day_care,60.0,SP,Santos
boarding,80.0,CE,Fortaleza
boarding,95.0,SP,Sorocaba
boarding,48.0,MG,Manhuaçu
boarding,135.0,RJ,Rio De Janeiro
day_care,60.0,SP,Sao Paulo
boarding,70.0,SP,Sao Paulo
boarding,90.0,RJ,Rio De Janeiro
boarding,64.0,RS,Porto Alegre
day_care,100.0,RJ,Rio De Janeiro
boarding,60.0,MG,Belo Horizonte
boarding,55.0,MG,Varginha
day_care,50.0,PE,Olinda
boarding,80.0,RJ,Rio De Janeiro
day_care,70.0,SP,Ribeirao Preto
boarding,65.0,PE,Recife
boarding,80.0,RS,Canoas
boarding,70.0,MG,Belo Horizonte
day_care,85.0,SP,Sao Paulo
boarding,50.0,PR,Foz Do Iguaçu
boarding,67.0,SP,Sorocaba
boarding,110.0,SP,Sao Paulo
day_care,200.0,SP,São Carlos
boarding,90.0,MG,Belo Horizonte
boarding,60.0,SP,Taubaté
boarding,120.0,SP,Sao Paulo
boarding,90.0,SP,Sao Paulo
boarding,60.0,MG,Belo Horizonte
boarding,45.0,RJ,Macaé
boarding,60.0,MG,Belo Horizonte
boarding,70.0,MG,Belo Horizonte
boarding,55.0,MG,Belo Horizonte
day_care,50.0,SP,Sao Paulo
day_care,80.0,SC,Joinville
boarding,65.0,RJ,Rio De Janeiro
day_care,135.0,SP,Sao Paulo
boarding,50.0,SC,Blumenau
day_care,55.0,SP,Pindamonhangaba
day_care,60.0,MG,Belo Horizonte
day_care,80.0,SP,Sao Paulo
boarding,140.0,SP,Campinas
boarding,45.0,DF,Brasília
boarding,75.0,DF,Brasília
day_care,90.0,SP,Sao Paulo
boarding,82.0,SP,Sao Paulo
boarding,73.0,RS,Planalto
boarding,45.0,RS,Lajeado
day_care,30.0,SP,Santa Cruz Do Rio Pardo
boarding,95.0,SP,Sao Paulo
boarding,90.0,SP,Sao Paulo
day_care,80.0,SP,Sao Paulo
boarding,75.0,SC,Joinville
boarding,65.0,ES,Vila Velha
day_care,55.0,SC,Blumenau
day_care,104.0,SP,Sao Paulo
day_care,60.0,PA,Belém
boarding,60.0,SC,Joinville
boarding,80.0,PR,Curitiba
day_care,80.0,SP,Campinas
boarding,100.0,SP,Sao Paulo
boarding,60.0,BA,Feira De Santana
boarding,55.0,RS,Caxias Do Sul
day_care,25.0,MG,Viçosa
boarding,140.0,PR,Curitiba
day_care,60.0,RJ,Rio De Janeiro
boarding,70.0,SP,Sao Paulo
day_care,70.0,RS,Porto Alegre
day_care,65.0,SP,Sao Paulo
boarding,95.0,SP,Sao Paulo
day_care,50.0,SP,São José Dos Campos
boarding,45.0,RS,Alvorada
day_care,50.0,SP,Praia Grande
boarding,80.0,PR,Curitiba
boarding,70.0,SP,Sao Paulo
boarding,95.0,SC,Joinville
day_care,50.0,SP,Sao Paulo
day_care,67.0,PR,Curitiba
boarding,75.0,RJ,Rio De Janeiro
boarding,135.0,SP,Sao Paulo
boarding,100.0,PR,Curitiba
boarding,55.0,DF,Brasília
boarding,70.0,PR,Maringá
boarding,64.0,AM,Manaus
boarding,95.0,SP,Sao Paulo
boarding,70.0,SP,Sao Paulo
boarding,85.0,PR,Curitiba
boarding,70.0,PE,Camaragibe
boarding,65.0,RJ,Rio De Janeiro
day_care,100.0,SP,Valinhos
boarding,67.0,RS,Porto Alegre
day_care,60.0,SP,Osasco
boarding,70.0,MG,Belo Horizonte
boarding,70.0,MG,Belo Horizonte
boarding,75.0,RJ,Rio De Janeiro
day_care,45.0,MG,Belo Horizonte
day_care,70.0,SP,Sao Paulo
boarding,100.0,RS,Porto Alegre
day_care,55.0,SP,Sao Paulo
boarding,65.0,SP,São José Do Rio Preto
boarding,80.0,PE,Recife
day_care,40.0,GO,Goianésia
pet_sitting,55.0,SP,Sao Paulo
pet_sitting,58.0,MG,Pouso Alegre
pet_sitting,30.0,SP,Santos
pet_sitting,25.0,RS,Passo Fundo
pet_sitting,70.0,CE,Fortaleza
pet_sitting,40.0,SC,Imbituba
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,70.0,RJ,Rio De Janeiro
pet_sitting,55.0,GO,Goiania
pet_sitting,34.0,PA,Belém
pet_sitting,68.0,RJ,Rio De Janeiro
pet_sitting,65.0,SP,Jundiaí
pet_sitting,25.0,RJ,Macaé
pet_sitting,94.0,SP,Sao Paulo
pet_sitting,100.0,RJ,Rio De Janeiro
pet_sitting,40.0,MG,Governador Valadares
pet_sitting,25.0,RJ,Rio De Janeiro
